Region,Data item,2020-21,2021-22,2022-23,2023-24
Australia,Apples - Production (t),"280,273","307,630","285,176","293,731"
Australia,Apples - Farm gate value ($m),619.8,568.6,647.0,680.2
New South Wales,Apples - Production (t),"38,283","42,019","38,953","40,121"
New South Wales,Apples - Farm gate value ($m),84.7,77.7,88.4,92.9
Victoria,Apples - Production (t),"127,938","140,428","130,176","134,083"
Victoria,Apples - Farm gate value ($m),282.9,259.5,295.4,310.6
Queensland,Apples - Production (t),"29,558","32,443","30,075","30,977"
Queensland,Apples - Farm gate value ($m),65.4,60.0,68.2,71.7
South Australia,Apples - Production (t),"26,788","29,402","27,256","28,074"
South Australia,Apples - Farm gate value ($m),59.2,54.3,61.8,65.0
Western Australia,Apples - Production (t),"28,691","31,491","29,193","30,068"
Western Australia,Apples - Farm gate value ($m),63.4,58.2,66.2,69.6
Tasmania,Apples - Production (t),"29,015","31,847","29,523","30,408"
Tasmania,Apples - Farm gate value ($m),64.2,58.9,67.0,70.4
Australia,Apricots - Production (t),"6,136","3,448","2,495","3,062"
Australia,Apricots - Farm gate value ($m),25.3,15.2,9.5,10.9
New South Wales,Apricots - Production (t),199,112,81,99
New South Wales,Apricots - Farm gate value ($m),0.8,0.5,0.3,0.4
Victoria,Apricots - Production (t),"3,422","1,923","1,390","1,708"
Victoria,Apricots - Farm gate value ($m),14.0,8.5,5.3,6.0
Queensland,Apricots - Production (t),92,52,38,46
Queensland,Apricots - Farm gate value ($m),0.4,0.2,0.1,0.2
South Australia,Apricots - Production (t),"1,399",786,569,698
South Australia,Apricots - Farm gate value ($m),5.8,3.5,2.2,2.5
Western Australia,Apricots - Production (t),162,91,66,81
Western Australia,Apricots - Farm gate value ($m),0.7,0.4,0.3,0.3
Tasmania,Apricots - Production (t),862,484,351,430
Tasmania,Apricots - Farm gate value ($m),3.6,2.1,1.3,1.5
Australia,Avocados - Production (t),"78,085","122,197","115,385","150,913"
Australia,Avocados - Farm gate value ($m),488.7,363.8,560.7,589.0
