Commodity,unit,Year,Value
Table and dried grapes,$m,1979–80,150
Fruit and nuts (excl. grapes),$m,1979–80,407
Vegetables,$m,1979–80,402
"Nursery, cut flowers and turf",$m,1979–80,141
Other horticulture,$m,1979–80,95
Total horticulture,$m,1979–80,1195
Table and dried grapes,$m,1984–85,126
Fruit and nuts (excl. grapes),$m,1984–85,671
Vegetables,$m,1984–85,629
"Nursery, cut flowers and turf",$m,1984–85,247
Other horticulture,$m,1984–85,130
Total horticulture,$m,1984–85,1803
Table and dried grapes,$m,1989–90,154
Fruit and nuts (excl. grapes),$m,1989–90,1022
Vegetables,$m,1989–90,1328
"Nursery, cut flowers and turf",$m,1989–90,444
Other horticulture,$m,1989–90,157
Total horticulture,$m,1989–90,3106
Table and dried grapes,$m,1994–95,153
Fruit and nuts (excl. grapes),$m,1994–95,1426
Vegetables,$m,1994–95,1492
"Nursery, cut flowers and turf",$m,1994–95,987
Other horticulture,$m,1994–95,240
Total horticulture,$m,1994–95,4298
Table and dried grapes,$m,1999–00,215
Fruit and nuts (excl. grapes),$m,1999–00,1761
Vegetables,$m,1999–00,1862
"Nursery, cut flowers and turf",$m,1999–00,1261
Other horticulture,$m,1999–00,319
Total horticulture,$m,1999–00,5419
Table and dried grapes,$m,2004–05,220
Fruit and nuts (excl. grapes),$m,2004–05,2547
Vegetables,$m,2004–05,2134
"Nursery, cut flowers and turf",$m,2004–05,1372
Other horticulture,$m,2004–05,400
Total horticulture,$m,2004–05,6672
Table and dried grapes,$m,2009–10,398
Fruit and nuts (excl. grapes),$m,2009–10,2950
Vegetables,$m,2009–10,3023
"Nursery, cut flowers and turf",$m,2009–10,1324
Other horticulture,$m,2009–10,443
Total horticulture,$m,2009–10,8138
Table and dried grapes,$m,2014–15,343
Fruit and nuts (excl. grapes),$m,2014–15,3512
Vegetables,$m,2014–15,3350
"Nursery, cut flowers and turf",$m,2014–15,1252
Other horticulture,$m,2014–15,232
Total horticulture,$m,2014–15,8689
Table and dried grapes,$m,2019–20,586
Fruit and nuts (excl. grapes),$m,2019–20,5411
Vegetables,$m,2019–20,4190
"Nursery, cut flowers and turf",$m,2019–20,1718
Other horticulture,$m,2019–20,257
Total horticulture,$m,2019–20,12163
Table and dried grapes,$m,2023–24,771
Fruit and nuts (excl. grapes),$m,2023–24,7272
Vegetables,$m,2023–24,5701
"Nursery, cut flowers and turf",$m,2023–24,3239
Other horticulture,$m,2023–24,285
Total horticulture,$m,2023–24,17269
