Region,Data item,2020-21,2021-22,2022-23,2023-24
Australia,Fruit (excluding wine grapes) - Farm gate value ($m),"5,855.2","5,612.2","6,323.4","6,816.3"
Australia,Wine grapes - Farm gate value ($m),"1,560.0","1,210.0",981.2,"1,005.4"
Australia,Vegetables - Farm gate value ($m),"4,908.0","5,529.6","5,841.4","5,701.2"
Australia,Nuts - Farm gate value ($m),"1,195.2","1,248.1",742.7,"1,226.7"
Australia,"Cut flowers, nurseries and turf - Farm gate value ($m)","3,336.3","3,429.6","3,379.8","3,239.3"
New South Wales,Fruit (excluding wine grapes) - Farm gate value ($m),"1,082.2","1,044.1","1,240.1","1,445.7"
New South Wales,Wine grapes - Farm gate value ($m),288.9,223.1,164.2,174.0
New South Wales,Vegetables - Farm gate value ($m),513.5,603.2,659.4,595.5
New South Wales,Nuts - Farm gate value ($m),322.8,327.6,171.0,347.8
New South Wales,"Cut flowers, nurseries and turf - Farm gate value ($m)",906.2,970.8,959.4,920.2
Victoria,Fruit (excluding wine grapes) - Farm gate value ($m),"1,741.8","1,723.6","1,903.8","1,813.0"
Victoria,Wine grapes - Farm gate value ($m),242.8,192.4,133.8,178.2
Victoria,Vegetables - Farm gate value ($m),"1,487.4","1,702.2","1,505.6","1,669.1"
Victoria,Nuts - Farm gate value ($m),487.0,541.1,300.0,420.8
Victoria,"Cut flowers, nurseries and turf - Farm gate value ($m)",940.8,943.6,949.8,908.7
Queensland,Fruit (excluding wine grapes) - Farm gate value ($m),"1,814.0","1,605.7","1,923.1","2,024.1"
Queensland,Wine grapes - Farm gate value ($m),0.6,0.7,1.0,1.4
Queensland,Vegetables - Farm gate value ($m),"1,232.6","1,284.3","1,353.2","1,312.5"
Queensland,Nuts - Farm gate value ($m),173.5,121.4,76.5,139.9
Queensland,"Cut flowers, nurseries and turf - Farm gate value ($m)",860.2,"1,016.8","1,003.9",963.9
South Australia,Fruit (excluding wine grapes) - Farm gate value ($m),434.6,421.3,445.4,433.1
South Australia,Wine grapes - Farm gate value ($m),926.4,685.2,567.2,518.3
South Australia,Vegetables - Farm gate value ($m),673.6,825.9,"1,079.5",934.8
South Australia,Nuts - Farm gate value ($m),159.5,206.3,153.6,272.2
South Australia,"Cut flowers, nurseries and turf - Farm gate value ($m)",55.8,117.6,106.1,102.1
Western Australia,Fruit (excluding wine grapes) - Farm gate value ($m),367.9,414.7,406.9,600.4
Western Australia,Wine grapes - Farm gate value ($m),63.3,69.9,75.7,72.3
Western Australia,Vegetables - Farm gate value ($m),383.4,423.6,446.2,424.3
Western Australia,Nuts - Farm gate value ($m),9.9,9.7,7.3,7.3
Western Australia,"Cut flowers, nurseries and turf - Farm gate value ($m)",247.0,318.2,299.2,286.0
Tasmania,Fruit (excluding wine grapes) - Farm gate value ($m),234.7,219.9,243.0,299.6
Tasmania,Wine grapes - Farm gate value ($m),38.0,38.7,39.3,61.0
Tasmania,Vegetables - Farm gate value ($m),499.6,556.9,649.5,629.9
Tasmania,Nuts - Farm gate value ($m),10.2,12.0,5.8,10.1
Tasmania,"Cut flowers, nurseries and turf - Farm gate value ($m)",19.5,25.8,25.3,24.0
Northern Territory,Fruit (excluding wine grapes) - Farm gate value ($m),166.6,166.6,142.5,180.8
Northern Territory,Vegetables - Farm gate value ($m),5.8,6.4,6.2,6.6
Northern Territory,"Cut flowers, nurseries and turf - Farm gate value ($m)",37.3,36.8,36.1,34.4
Australian Capital Territory,Wine grapes - Farm gate value ($m),N/A,N/A,N/A,0.2
