Region,Data item,2020-21,2021-22,2022-23,2023-24
Australia,Artichokes - Production (t),456,447,450,453
Australia,Artichokes - Farm gate value ($m),1.2,1.2,1.6,1.4
New South Wales,Artichokes - Production (t),14,13,13,14
New South Wales,Artichokes - Farm gate value ($m),0.0,0.0,0.0,0.0
Victoria,Artichokes - Production (t),358,351,353,355
Victoria,Artichokes - Farm gate value ($m),1.0,1.0,1.3,1.2
South Australia,Artichokes - Production (t),9,9,9,9
South Australia,Artichokes - Farm gate value ($m),0.0,0.0,0.0,0.0
Western Australia,Artichokes - Production (t),75,74,75,75
Western Australia,Artichokes - Farm gate value ($m),0.2,0.2,0.3,0.2
Australia,Asparagus - Production (t),"6,857","7,369","5,296","5,786"
Australia,Asparagus - Farm gate value ($m),72.4,77.9,59.3,66.5
New South Wales,Asparagus - Production (t),138,149,107,116
New South Wales,Asparagus - Farm gate value ($m),1.5,1.6,1.2,1.3
Victoria,Asparagus - Production (t),"6,703","7,202","5,176","5,641"
Victoria,Asparagus - Farm gate value ($m),70.7,76.1,58.0,64.8
Western Australia,Asparagus - Production (t),16,18,13,14
Western Australia,Asparagus - Farm gate value ($m),0.2,0.2,0.1,0.2
Tasmania,Asparagus - Production (t),0,0,0,15
Tasmania,Asparagus - Farm gate value ($m),0.0,0.0,0.0,0.2
Australia,"Beans, fresh - Production (t)","35,641","28,169","29,118","32,702"
Australia,"Beans, fresh - Farm gate value ($m)",81.9,134.4,114.3,117.2
New South Wales,"Beans, fresh - Production (t)","2,713","2,144","2,216","2,489"
New South Wales,"Beans, fresh - Farm gate value ($m)",6.2,10.2,8.7,8.9
Victoria,"Beans, fresh - Production (t)","4,818","3,808","3,936","4,421"
Victoria,"Beans, fresh - Farm gate value ($m)",11.1,18.2,15.5,15.8
Queensland,"Beans, fresh - Production (t)","18,936","14,966","15,471","17,375"
Queensland,"Beans, fresh - Farm gate value ($m)",43.5,71.4,60.6,62.3
Western Australia,"Beans, fresh - Production (t)",520,411,425,477
Western Australia,"Beans, fresh - Farm gate value ($m)",1.2,2.0,1.7,1.7
Tasmania,"Beans, fresh - Production (t)","8,654","6,840","7,070","7,940"
Tasmania,"Beans, fresh - Farm gate value ($m)",19.9,32.6,27.8,28.5
Australia,Beetroot - Production (t),"14,044","14,660","16,167","17,300"
Australia,Beetroot - Farm gate value ($m),10.8,13.8,14.9,16.9
New South Wales,Beetroot - Production (t),879,918,"1,012","1,083"
New South Wales,Beetroot - Farm gate value ($m),0.7,0.9,0.9,1.1
Victoria,Beetroot - Production (t),203,212,234,250
Victoria,Beetroot - Farm gate value ($m),0.2,0.2,0.2,0.2
Queensland,Beetroot - Production (t),"11,936","12,459","13,740","14,703"
Queensland,Beetroot - Farm gate value ($m),9.1,11.7,12.7,14.4
Western Australia,Beetroot - Production (t),"1,026","1,071","1,181","1,264"
Western Australia,Beetroot - Farm gate value ($m),0.8,1.0,1.1,1.2
Australia,Broccoli/Baby broccoli - Production (t),"80,199","72,623","75,235","78,896"
Australia,Broccoli/Baby broccoli - Farm gate value ($m),260.0,293.8,283.1,278.8
New South Wales,Broccoli/Baby broccoli - Production (t),"3,208","2,913","3,018","3,164"
New South Wales,Broccoli/Baby broccoli - Farm gate value ($m),10.4,11.8,11.4,11.2
Victoria,Broccoli/Baby broccoli - Production (t),"37,693","33,920","35,140","36,850"
Victoria,Broccoli/Baby broccoli - Farm gate value ($m),122.2,137.3,132.2,130.2
Queensland,Broccoli/Baby broccoli - Production (t),"22,456","20,278","21,006","22,029"
Queensland,Broccoli/Baby broccoli - Farm gate value ($m),72.8,82.0,79.0,77.8
South Australia,Broccoli/Baby broccoli - Production (t),"1,604","1,279","1,325","1,389"
South Australia,Broccoli/Baby broccoli - Farm gate value ($m),5.2,5.2,5.0,4.9
Western Australia,Broccoli/Baby broccoli - Production (t),"12,030","11,083","11,482","12,041"
Western Australia,Broccoli/Baby broccoli - Farm gate value ($m),39.0,44.8,43.2,42.6
Tasmania,Broccoli/Baby broccoli - Production (t),"3,208","3,150","3,264","3,423"
Tasmania,Broccoli/Baby broccoli - Farm gate value ($m),10.4,12.7,12.3,12.1
Australia,Brussels sprouts - Production (t),"6,263","5,353","6,845","7,419"
Australia,Brussels sprouts - Farm gate value ($m),25.7,27.5,37.4,38.4
New South Wales,Brussels sprouts - Production (t),8,7,9,22
New South Wales,Brussels sprouts - Farm gate value ($m),0.0,0.0,0.0,0.1
Victoria,Brussels sprouts - Production (t),"1,362","1,164","1,488","2,005"
Victoria,Brussels sprouts - Farm gate value ($m),5.6,6.0,8.1,10.4
Queensland,Brussels sprouts - Production (t),264,226,288,515
