Region,Data item,2020-21,2021-22,2022-23,2023-24
Australia,Wine grapes - Crush (t),"2,028,428","1,734,260","1,314,618","1,427,008"
Australia,Wine grapes - Farm gate value ($m),"1,560.0","1,210.0",981.2,"1,005.4"
New South Wales,Wine grapes - Crush (t),"580,875","495,088","354,415","417,887"
New South Wales,Wine grapes - Farm gate value ($m),288.9,223.1,164.2,174.0
Victoria,Wine grapes - Crush (t),"334,834","291,847","173,631","248,105"
Victoria,Wine grapes - Farm gate value ($m),242.8,192.4,133.8,178.2
Queensland,Wine grapes - Crush (t),409,429,539,780
Queensland,Wine grapes - Farm gate value ($m),0.6,0.7,1.0,1.4
South Australia,Wine grapes - Crush (t),"1,055,265","889,254","728,644","702,344"
South Australia,Wine grapes - Farm gate value ($m),926.4,685.2,567.2,518.3
Western Australia,Wine grapes - Crush (t),"44,935","45,546","45,624","41,113"
Western Australia,Wine grapes - Farm gate value ($m),63.3,69.9,75.7,72.3
Tasmania,Wine grapes - Crush (t),"12,110","12,096","11,765","16,702"
Tasmania,Wine grapes - Farm gate value ($m),38.0,38.7,39.3,61.0
Australian Capital Territory,Wine grapes - Crush (t),N/A,N/A,N/A,79
Australian Capital Territory,Wine grapes - Farm gate value ($m),N/A,N/A,N/A,0.2
